month,stock_code,top_risk_score,rank_in_topn
2019-01,002916,0.8716324750023061,7
2019-01,600011,0.855930439396068,8
2019-01,601012,0.8381243341616775,9
2019-01,601872,0.7318287922831748,10
2019-02,002714,1.7062113859448775,1
2019-02,601012,1.1449721394499859,2
2019-02,000975,1.0141861289401042,3
2019-02,300014,0.991895698158468,4
2019-02,600161,0.9888890725497893,5
2019-02,601872,0.8255655856895726,6
2019-02,000100,0.6383497114339092,7
2019-02,300033,0.6204723760448203,8
2019-02,601100,0.591470468630462,9
2019-02,600690,0.5522489745536813,10
2019-03,300033,1.8389422746194524,1
2019-03,600061,1.7539516419319279,2
2019-03,002736,1.6236994821350017,3
2019-03,002714,1.3858041231000167,4
2019-03,002709,1.1188376297755107,5
2019-03,300394,0.7907168232478117,6
2019-03,601012,0.7394555754962304,7
2019-03,601872,0.35387184924006937,8
2019-03,002475,0.32277151460697706,9
2019-03,000708,0.28592449755622457,10
2019-04,600061,1.4476329013660072,1
2019-04,002714,1.369370650888286,2
2019-04,002736,1.3189857208528502,3
2019-04,600031,0.9262800599985261,4
2019-04,300014,0.6819410414309628,5
2019-04,600406,0.672176853842249,6
2019-04,000596,0.6394908253964111,7
2019-04,600183,0.6010582353532906,8
2019-04,600600,0.595041729255765,9
2019-04,002475,0.5915001032558935,10
2019-05,600438,1.4824046348520539,1
2019-05,601018,1.4233229271957377,2
2019-05,002600,1.2039376939012476,3
2019-05,601919,0.9905967278785648,4
2019-05,601628,0.8533331152301159,5
2019-05,300274,0.8343763346170907,6
2019-05,600061,0.5779246425620967,7
2019-05,600066,0.5020581184125033,8
2019-05,002475,0.5012191032475164,9
2019-05,601100,0.4427338559430918,10
2019-06,002600,1.2968004570673792,1
2019-06,002311,1.0724577905638668,2
2019-06,601100,1.0556181182716569,3
2019-06,601012,0.9337402446785136,4
2019-06,600438,0.8200448070161421,5
2019-06,600009,0.7370340154068268,6
2019-06,000568,0.5375640738739094,7
2019-06,601600,0.4884840773408598,8
2019-06,600233,0.4195584230430748,9
2019-06,000975,0.41773214245424306,10
2019-07,000596,1.5043421533098682,1
2019-07,000975,1.1340115293871955,2
2019-07,000858,1.124773943613359,3
2019-07,300628,1.011422986615191,4
2019-07,603501,0.9302999597399786,5
2019-07,600845,0.8993938198763136,6
2019-07,002938,0.8661797492333252,7
2019-07,600061,0.8144089758784128,8
2019-07,002371,0.7586218916172734,9
2019-07,002714,0.4508000098559631,10
2019-08,600150,1.8198516796795392,1
2019-08,603501,1.6279250029429053,2
2019-08,000938,1.3912385922975483,3
2019-08,300628,1.124520155850192,4
2019-08,002475,1.0662432680030582,5
2019-08,002938,0.8384887872607509,6
2019-08,002352,0.7157311237209835,7
2019-08,002236,0.6988126938710018,8
2019-08,300394,0.6670205560729788,9
2019-08,600845,0.6229397822615292,10
2019-09,002463,2.1421361379671753,1
2019-09,002600,1.578076439520594,2
2019-09,002241,1.56361181880901,3
2019-09,300347,1.3885013328808098,4
2019-09,600026,1.3545179153725806,5
2019-09,002384,1.3202462729135391,6
2019-09,002475,1.3191609791691394,7
2019-09,000568,1.2484946426842916,8
2019-09,600150,1.1894171784906318,9
2019-09,002714,1.1674038469201222,10
2019-10,603259,1.3296564819690997,1
2019-10,002475,1.3280138463370732,2
2019-10,002916,1.297562370192802,3
2019-10,000661,1.1827856430605463,4
2019-10,000792,1.0966690516151818,5
2019-10,300442,1.0779550674595064,6
2019-10,601808,0.821461374151151,7
2019-10,600161,0.812833170547043,8
2019-10,600845,0.762939103269485,9
2019-10,600674,0.7581277881195058,10
2019-11,000708,1.9156755474310647,1
2019-11,002714,1.7110653700473168,2
2019-11,603259,1.694217077610488,3
2019-11,002475,1.6307501491444945,4
2019-11,300014,1.5098284358979719,5
2019-11,002600,1.2995518823489491,6
2019-11,300759,1.1988253632152772,7
2019-11,600276,1.1965399701336026,8
2019-11,300308,1.0781676661091069,9
2019-11,600809,1.071586513731515,10
2019-12,601689,1.5818494810088093,1
2019-12,601808,1.3305791300527883,2
2019-12,601872,1.2789016872765078,3
2019-12,002475,1.1814565155949937,4
2019-12,300661,0.9949821390685627,5
2019-12,300502,0.9793575575806294,6
2019-12,002241,0.8921867475424509,7
2019-12,600845,0.8888166468100962,8
2019-12,601236,0.7610350843464937,9
2019-12,002916,0.7270185006011742,10
2020-01,600061,1.3373951015950534,1
2020-01,002601,1.1419800614249749,2
2020-01,601808,1.1291096947531902,3
2020-01,600585,1.1119063812766496,4
2020-01,601236,0.9568475707920543,5
2020-01,300661,0.9089183135425288,6
2020-01,002384,0.796603438534338,7
2020-01,688012,0.745094952561087,8
2020-01,002475,0.5368053068558944,9
2020-01,300394,0.528263275762579,10
2020-02,601689,2.031294910025847,1
2020-02,603799,1.6895413316457686,2
2020-02,300316,1.3210182595985436,3
2020-02,300014,1.2924247501808117,4
2020-02,002475,1.1637928479056647,5
2020-02,002600,0.8964862230074235,6
2020-02,300502,0.8229933384544299,7
2020-02,300628,0.7270999054662357,8
2020-02,603019,0.7250218937065203,9
2020-02,300347,0.7012267938779804,10
2020-03,300316,1.3593161396496591,1
2020-03,000063,1.2224851487141963,2
2020-03,300628,1.0939543517003245,3
2020-03,000100,1.0936504193455203,4
2020-03,300476,0.9576934677641042,5
2020-03,002475,0.9407257036260643,6
2020-03,601236,0.8727936893315102,7
2020-03,300661,0.8400853032556403,8
2020-03,600585,0.7171773258336628,9
2020-03,300308,0.6997190146179497,10
2020-04,000876,1.8011520219855361,1
2020-04,002714,1.4794992077537743,2
2020-04,601872,1.1115166375374477,3
2020-04,000977,0.9528918163036418,4
2020-04,000538,0.8981840957302218,5
2020-04,000975,0.8074172791467837,6
2020-04,603501,0.7213646809905003,7
2020-04,688012,0.5506718449382424,8
2020-04,002920,0.4878595767505265,9
2020-04,601236,0.4774102956138767,10
2020-05,002709,1.532420984208657,1
2020-05,601689,1.4289519420842467,2
2020-05,600845,1.2507118336133467,3
2020-05,300316,1.1061674996115045,4
2020-05,601066,1.075040162384123,5
2020-05,300476,1.0737144240474787,6
2020-05,300394,1.057040336595829,7
2020-05,601100,0.9692815140971355,8
2020-05,000876,0.9373383493862647,9
2020-05,002916,0.8587908179916568,10
2020-06,002920,1.9620022693950914,1
2020-06,688012,1.88857802589392,2
